BME455H1F, ,9/4/2014,1,Wed,10,11,GB120, , ,  ,,
BME455H1F, ,9/4/2014,1,Fri,10,11,GB120, , ,  ,,
BME455H1F,PRA 0101,9/4/2014,1,Mon,18,21,MB325, , ,  ,,
BME455H1F,TUT 0101,9/4/2014,1,Wed,9,10,BA2185, , ,  ,,
BME460H1F,LEC 0101,9/4/2014,1,Wed,15,17,RS412, ,"Parker, Jayson",  ,,
BME460H1F, ,9/4/2014,1,Wed,15,17,RS412, ,"Santerre, Paul",  ,,
BME460H1F,TUT 0101,9/4/2014,1,Wed,17,19,RS412, ,"Santerre, Paul",  ,,
BME460H1F, ,9/4/2014,1,Wed,17,19,RS412, ,"Parker, Jayson",  ,,
BME479H1F,TUT 0101,9/4/2014,1,Thu,18,19,BA2145, ,"Fernandez-Gonzalez, Rodrigo",  ,,
CHE112H1F,LEC 0101,9/4/2014,1,Wed,9,10,MC102, , ,  ,,
CHE112H1F, ,9/4/2014,1,Fri,11,12,MC102, , ,  ,,
CHE112H1F, ,9/4/2014,1,Mon,9,10,MC102, , ,  ,,
CHE112H1F,PRA 0101,9/4/2014,1,Tue,17,18,MC102, , ,  ,,
CHE112H1F,TUT 0101,9/4/2014,1,Wed,9,10,BA2135, , ,  ,,
CHE112H1F,TUT 0102,9/4/2014,1,Mon,12,13,HA410, , ,  ,,
CHE112H1F,TUT 0103,9/4/2014,1,Mon,10,11,BA2165, , ,  ,,
CHE112H1F,TUT 0104,9/4/2014,1,Thu,13,14,WB342, , ,  ,,
CHE112H1F,TUT 0105,9/4/2014,1,Mon,14,15,BA1230, , ,  ,,
CHE112H1F,TUT 0106,9/4/2014,1,Mon,12,13,BA1230, , ,  ,,
CHE204H1Y,PRA 0101,9/4/2014,1,Wed,10,16,LM117, ,"Ambidge, Chris",  ,,
CHE204H1Y, ,9/4/2014,1,Wed,10,16,LM113, ,"Ambidge, Chris",  ,,
CHE204H1Y,PRA 0102,9/4/2014,1,Thu,10,16,LM117, ,"Ambidge, Chris",  ,,
CHE204H1Y, ,9/4/2014,1,Thu,10,16,LM113, ,"Ambidge, Chris",  ,,
CHE208H1F,LEC 0101,9/4/2014,1,Tue,14,15,WB116, ,"Acosta, Edgar Joel",  ,,
CHE208H1F, ,9/4/2014,1,Fri,10,12,BA1130, ,"Acosta, Edgar Joel",  ,,
CHE208H1F,TUT 0101,9/4/2014,1,Thu,13,15,SF3201, ,"Acosta, Edgar Joel",  ,,
CHE208H1F,TUT 0102,9/4/2014,1,Wed,13,15,SF3201, ,"Acosta, Edgar Joel",  ,,
CHE211H1F,LEC 0101,9/4/2014,1,Mon,10,11,SF1105, ,"Allen, D Grant",  ,,
CHE211H1F, ,9/4/2014,1,Wed,9,10,SF1105, ,"Allen, D Grant",  ,,
CHE211H1F, ,9/4/2014,1,Fri,9,10,MB128, ,"Allen, D Grant",  ,,
CHE211H1F,TUT 0101,9/4/2014,1,Thu,10,12,SF3201, , ,  ,,
CHE211H1F,TUT 0102,9/4/2014,1,Wed,10,12,HA403, , ,  ,,
CHE220H1F,LEC 0101,9/4/2014,1,Mon,16,17,MB128, ,"Papangelakis, Vladimiros",  ,,
CHE220H1F, ,9/4/2014,1,Thu,16,17,MB128, ,"Papangelakis, Vladimiros",  ,,
CHE220H1F, ,9/4/2014,1,Wed,16,17,BA1130, ,"Papangelakis, Vladimiros",  ,,
CHE220H1F,TUT 0101,9/4/2014,1,Mon,12,13,HA403, , ,  ,,
CHE220H1F,TUT 0102,9/4/2014,1,Mon,11,12,SF3201, , ,  ,,
CHE221H1F,LEC 0101,9/4/2014,1,Tue,11,12,SF1101, ,"Ramchandran, Arun",  ,,
CHE221H1F, ,9/4/2014,1,Fri,13,15,SF1101, ,"Ramchandran, Arun",  ,,
CHE221H1F,PRA 0101,9/4/2014,1,Mon,13,15,WB255, , ,  ,,
CHE221H1F, ,9/4/2014,1,Mon,13,15,GB144, , ,  ,,
CHE221H1F,PRA 0102,9/4/2014,1,Tue,9,11,GB150, , ,  ,,
CHE221H1F, ,9/4/2014,1,Tue,9,11,GB144, , ,  ,,
CHE221H1F,TUT 0101,9/4/2014,1,Tue,9,11,HA403, ,"Ramchandran, Arun",  ,,
CHE221H1F,TUT 0102,9/4/2014,1,Mon,13,15,GB221, ,"Ramchandran, Arun",  ,,
CHE249H1F,LEC 0101,9/4/2014,1,Tue,15,17,SF1105, ,"Chan, Arthur",  ,,
CHE249H1F, ,9/4/2014,1,Thu,9,10,SF1105, ,"Chan, Arthur",  ,,
CHE249H1F,TUT 0101,9/4/2014,1,Fri,15,16,WB342, ,"Chan, Arthur",  ,,
CHE249H1F, ,9/4/2014,1,Fri,15,16,GB304, ,"Chan, Arthur",  ,,
CHE249H1F, ,9/4/2014,1,Fri,15,16,GB404, ,"Chan, Arthur",  ,,
CHE260H1F,LEC 0101,9/4/2014,1,Mon,17,18,SF1105, ,"Ramchandran, Arun",  ,,
CHE260H1F, ,9/4/2014,1,Mon,17,18,SF1105, ,"Chandra, Sanjeev",  ,,
CHE260H1F, ,9/4/2014,1,Thu,12,13,SF1105, ,"Ramchandran, Arun",  ,,
CHE260H1F, ,9/4/2014,1,Thu,12,13,SF1105, ,"Chandra, Sanjeev",  ,,
CHE260H1F, ,9/4/2014,1,Tue,12,13,WB116, ,"Chandra, Sanjeev",  ,,
CHE260H1F, ,9/4/2014,1,Tue,12,13,WB116, ,"Ramchandran, Arun",  ,,
CHE260H1F,PRA 0101,9/8/2014,3,Wed,9,12,MC120, , , occurs once every three weeks,,
CHE260H1F,PRA 0102,9/4/2014,3,Wed,9,12,MC120, , , occurs once every three weeks,,
CHE260H1F,PRA 0103,9/8/2014,3,Wed,14,17,MC120, , , occurs once every three weeks,,
CHE260H1F,PRA 0104,9/4/2014,3,Wed,14,17,MC120, , , occurs once every three weeks,,
CHE260H1F,TUT 0101,9/4/2014,1,Wed,16,17,BA1230, , ,  ,,
CHE260H1F,TUT 0102,9/4/2014,1,Fri,13,14,BA1230, , ,  ,,
CHE260H1F,TUT 0103,9/4/2014,1,Thu,14,15,BA1230, , ,  ,,
CHE260H1F,TUT 0104,9/4/2014,1,Fri,9,10,WB342, , ,  ,,
CHE298H1F,TUT 0101,9/4/2014,1,Mon,17,18,WB144, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Mon,17,18,WB144, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,WB144, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,WB144, ,"McGuigan, Alison",  ,,
CHE298H1F,TUT 0102,9/4/2014,1,Mon,17,18,BA2159, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Mon,17,18,BA2159, ,"McGuigan, Alison",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA2159, ,"Wilkinson, Lydia",  ,,
CHE298H1F, ,9/4/2014,1,Wed,17,18,BA2159, ,"McGuigan, Alison",  ,,
CHE298H1F,TUT 0103,9/4/2014,1,Mon,17,18,BA3008, ,"Wilkinson, Lydia",  ,,
